feature1,feature2,label
1.745401188473625,4.981617140197452,1
7.507143064099162,3.360963663441204,1
5.319939418114051,1.0952761628632774,1
3.986584841970366,6.137950197069487,1
-0.4398135955756348,4.847311725538793,0
-0.44005479663797353,-0.373830606551087,0
-1.4191638783180054,7.109271844938425,0
6.661761457749352,6.22537242923169,1
4.011150117432088,7.49799913291924,1
5.080725777960454,5.2571950838836,1
-1.7941550570419755,4.134151959357899,0
7.699098521619943,2.1824303629061887,1
6.324426408004218,7.327284833540133,1
0.12339110678276155,6.660638895004084,1
-0.18175032792899382,-1.547813298938106,0
-0.16595490146566183,-1.73633025502748,0
1.0424224295953772,1.764633668780496,0
3.2475643163223786,6.1055333078183285,1
2.3194501864211574,7.872761293149445,1
0.9122914019804191,-0.49583108896471817,0
4.118528947223795,3.9413071535213513,1
-0.6050613934795817,1.8089085663102151,0
0.9214464853521815,7.699143978146032,1
1.663618432936917,6.421189231357086,1
2.5606998421703593,6.383287047111379,1
5.851759613930136,2.6869315979497026,1
-0.003262178416402639,2.148195023376652,0
3.1423443841361163,0.7340707193070624,0
3.924145688620425,-1.4362450334907289,0
-1.5354958728000228,6.647223762550532,0
4.075448519014383,6.129010091300776,1
-0.2947587631270847,7.9971767328613055,1
-1.3494840701472048,7.966368370739054,1
7.488855372533332,3.5543170560262745,1
7.656320330745594,5.689874151805105,1
6.083973481164612,7.44765729882428,1
1.0461376917337069,6.496473906774114,1
-1.0232788599361613,0.47348101743197657,0
4.842330265121569,2.5054413531009354,1
2.401524937396013,-0.7084058484850502,0
-0.7796176515522117,7.540510272587223,1
2.951769101112702,4.0617463445088005,1
-1.656114788847816,0.2864280550346272,0
7.09320402078782,4.7170068440585675,1
0.5877998160001692,4.181282404578958,0
4.62522284353982,1.581627180328405,1
1.1171107608941095,-0.8644240780037098,0
3.200680211778108,4.715731955927996,1
3.4671027934327965,3.203077009037933,1
-0.1514554447447296,5.723183917356393,0
7.695846277645586,3.201635011119934,1
5.7513282336111455,6.521815003185401,1
7.394989415641891,3.5190683877448556,1
6.9482735042764885,3.609379715353863,1
3.978999788110851,6.76653602658345,1
7.218742350231168,2.0348286621239704,1
-1.115074979480805,-0.6598477154935927,0
-0.040171375808548015,-1.7121732368666103,0
-1.5477271108946193,5.55137255673619,0
1.2533033076326434,4.203095513534647,0
1.88677289689482,5.0407976809922355,1
0.7134903177389591,0.12964161508910732,0
6.287375091519293,-0.6362852441323024,0
1.5675332669358928,-1.8545533433211807,0
0.8093450968738076,1.5058755880659698,0
3.426960831582485,3.8991768685463306,1
-0.5907577502523735,1.9224404509973232,0
6.021969807540397,2.3747492202372906,1
-1.2544935632022918,7.041586944937484,0
7.868869366005173,1.4825546702330035,1
5.722447692966574,3.139894891598108,1
-0.012843184658275941,5.8365301274114305,0
-1.944778828763976,1.9654278232127016,0
6.154614284548342,4.220867002278735,1
5.068573438476172,6.6236370874674515,1
5.2900716804098735,7.495206236576421,1
5.712703466859457,-0.5292651907096206,0
-1.2595534826590964,7.265876251614944,1
1.584657285442726,2.921162930795382,0
-0.8413094047487029,0.5824438829895835,0
6.631034258755935,2.591357562382613,1
4.232981268275579,7.8003257528547705,1
1.3089802485264919,2.926180939928696,0
-1.3644164971397637,1.2875161028750821,0
1.109823217156622,4.334008543167258,0
1.2518332202674705,0.4014561877819307,0
5.29606178338064,-1.2413667189133608,0
4.3755747135521315,-0.7112027808935077,0
6.872127425763265,-0.7195416104222756,1
2.722149251619493,-0.4809730648770565,0
-0.804057540616983,-0.6117282735058986,0
5.13244787222995,4.4087474480321465,1
